notebook_path,relative_notebook_path,cell_number_1_based,cell_index_0_based,finding_type,severity,function_names,evidence,recommended_action
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Filter_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Filter_Architecture_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best; _controlled_candidate_label; run_controlled_trial,12 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/10; heading=## 2. Load Selected Hyperparameters and Test Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function de...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Final_Selected_Model.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/10; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Genetic_Algorithm.ipynb,7,6,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 7/11; heading=## 2. Load Cache and Search Space; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Genetic_Algorithm.ipynb,9,8,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 9/11; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=7; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_HPO_Comparison.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/14; heading=## 2. Load Cache and Artifacts; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dat...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_HPO_Comparison.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/14; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Kernel_Size_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Kernel_Size_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Kernel_Size_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Kernel_Size_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best; _controlled_candidate_label; run_controlled_trial,12 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_LearningRate_BatchSize_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/10; heading=## 2. Load Cache and Architecture Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions;...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_LearningRate_BatchSize_Trial.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_LearningRate_BatchSize_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/10; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Random_Search.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Random_Search.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/10; heading=## 2. Load Cache and Search Space; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\CNN\CNN_Random_Search.ipynb,Training/Model Variants/Neural Networks/CNN/CNN_Random_Search.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_cnn_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/10; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Activation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Activation_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/14; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Activation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Activation_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best; run_controlled_trial,11 function definitions appear early at cell 8/14; heading=## 3. Keras Utilities; stage=configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use fu...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Architecture_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/14; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Architecture_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Architecture_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best; run_controlled_trial,11 function definitions appear early at cell 8/14; heading=## 3. Keras Utilities; stage=configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use fu...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Baseline.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Baseline.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/12; heading=## 2. Load MLP Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Baseline.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Baseline.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Controlled_Trial_Comparison.ipynb,4,3,early_dense_function_block,medium,resolve_project_root; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results,7 function definitions appear early at cell 4/8; heading=## 1. Imports and Paths; stage=imports/setup; configuration/paths; dataset loading; training; evaluation; outputs/saving; function definitions; first dataset cell=4; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Controlled_Trial_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Controlled_Trial_Comparison.ipynb,6,5,early_dense_function_block,medium,parse_hidden_units; top_values; domain_size,3 function definitions appear early at cell 6/8; heading=## 2. Load Results and Build Search Space; stage=dataset loading; evaluation; outputs/saving; function definitions; first dataset cell=4; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Dropout_Regularisation_Trial.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; normalise_handoff_config; first_existing_results_path; rebuild_selected_config_from_results; ensure_selected_config_from_results; load_class_weights,9 function definitions appear early at cell 6/14; heading=## 2. Load Cache and Previous Config; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; fir...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Dropout_Regularisation_Trial.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Dropout_Regularisation_Trial.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best; run_controlled_trial,11 function definitions appear early at cell 8/14; heading=## 3. Keras Utilities; stage=configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use fu...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Final_Selected_Model.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/12; heading=## 2. Load Selected Hyperparameters and Test Cache; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function de...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Final_Selected_Model.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Final_Selected_Model.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Genetic_Algorithm.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/12; heading=## 2. Load Cache and Search Space; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_Genetic_Algorithm.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_Genetic_Algorithm.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/12; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_HPO_Comparison.ipynb,6,5,early_dense_function_block,medium,resolve_project_root; require_file; load_json; save_json; load_class_weights,5 function definitions appear early at cell 6/16; heading=## 2. Load Cache and Artifacts; stage=imports/setup; configuration/paths; dataset loading; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dat...,"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Neural Networks\MLP\MLP_HPO_Comparison.ipynb,Training/Model Variants/Neural Networks/MLP/MLP_HPO_Comparison.ipynb,8,7,early_dense_function_block,medium,normalise_config; config_json; config_key; seed_from_config; set_global_seed; make_optimizer; build_mlp_model; train_and_evaluate_config; flat_result; select_best,10 function definitions appear early at cell 8/16; heading=## 3. Keras Utilities; stage=configuration/paths; feature preparation; model definition; training; evaluation; outputs/saving; function definitions; first dataset cell=6; far-use functions=[],"Review whether this helper block belongs near later data-preparation/evaluation cells. If it was moved for layout, restore top-to-bottom experimental order while preserving outputs."
