notebook_path,relative_notebook_path,function_name,cell_number_1_based,cell_index_0_based,position_ratio,line_in_cell,preceding_heading,cell_stage,cell_line_count,first_use_cell_after_def_1_based,cell_gap_to_first_use,call_count_excluding_def_lines,modified_vs_head_before_audit
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,aggregate_mfcc,30,29,0.5472,35,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,extract_mfcc_features,30,29,0.5472,22,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,load_audio_fixed,30,29,0.5472,5,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Analysis_PCA_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Analysis_PCA_MFCC.ipynb,build_feature_table,39,38,0.717,5,### Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,27,51,12,3,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,mount_google_drive_if_colab,5,4,0.25,5,### Setup,imports/setup; function definitions,24,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,find_outputs_root,7,6,0.375,13,### Setup,outputs/saving; function definitions,72,8,1,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,output_root_has_required_artifacts,7,6,0.375,2,### Setup,outputs/saving; function definitions,72,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\Feature_Importance_MFCC.ipynb,Training/Model Variants/Analysis/Feature_Importance_MFCC.ipynb,resolve_project_root,7,6,0.375,38,### Setup,outputs/saving; function definitions,72,8,1,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,mount_drive_if_colab,13,12,0.3,4,### Dataset Paths,imports/setup; function definitions,13,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,extract_mfcc_features,17,16,0.4,31,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; outputs/saving; function definitions,64,35,18,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,load_audio_fixed,17,16,0.4,15,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; outputs/saving; function definitions,64,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,read_audio_duration,17,16,0.4,4,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; outputs/saving; function definitions,64,,,0,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Analysis\MLAAD_Scan_MFCC_Analysis_cache.ipynb,Training/Model Variants/Analysis/MLAAD_Scan_MFCC_Analysis_cache.ipynb,scan_audio_files,17,16,0.4,45,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; outputs/saving; function definitions,64,20,3,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,mount_drive_if_colab,13,12,0.2143,4,## 5. Dataset Paths,imports/setup; function definitions,12,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,scan_audio_files,18,17,0.3036,4,## 6. Dataset Loading / Audio File Scan,dataset loading; outputs/saving; function definitions,21,20,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,aggregate_mfcc,30,29,0.5179,35,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,extract_mfcc_features,30,29,0.5179,22,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,load_audio_fixed,30,29,0.5179,5,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Baseline.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Baseline.ipynb,build_feature_table,39,38,0.6786,5,## 13. Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,27,51,12,3,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,mount_drive_if_colab,13,12,0.6316,2,## 5. Project and Output Paths,imports/setup; function definitions,17,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,first_existing_path,15,14,0.7368,23,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,resolve_project_root,15,14,0.7368,2,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_ColsampleBytree_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_ColsampleBytree_Trial.ipynb,require_file,18,17,0.8947,2,## 6. Load Shared SVM Cache,dataset loading; feature preparation; training; function definitions,41,,,8,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,mount_drive_if_colab,14,13,0.3939,2,## 5. Project and Output Paths,imports/setup; function definitions,17,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,first_existing_path,16,15,0.4545,23,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,resolve_project_root,16,15,0.4545,2,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Final_Selected_Model.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Final_Selected_Model.ipynb,require_file,19,18,0.5455,2,## 6. Load Shared SVM Cache,dataset loading; feature preparation; training; outputs/saving; function definitions,51,,,11,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,mount_drive_if_colab,14,13,0.3095,4,## 5. Dataset Paths,imports/setup; function definitions,12,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,aggregate_mfcc,18,17,0.4048,59,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,63,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,build_feature_table,18,17,0.4048,5,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,63,38,20,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,extract_mfcc_features,18,17,0.4048,46,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,63,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,load_audio_fixed,18,17,0.4048,29,### Class and Function Instantiation,configuration/paths; dataset loading; feature preparation; training; outputs/saving; function definitions,63,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_LearningRate_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_LearningRate_Trial.ipynb,scan_audio_files,21,20,0.4762,4,## 6. Dataset Loading / Audio File Scan,dataset loading; outputs/saving; function definitions,21,23,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,mount_drive_if_colab,14,13,0.3023,4,## 5. Dataset Paths,imports/setup; function definitions,12,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,scan_audio_files,19,18,0.4186,4,## 6. Dataset Loading / Audio File Scan,dataset loading; outputs/saving; function definitions,21,21,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,aggregate_mfcc,30,29,0.6744,35,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,extract_mfcc_features,30,29,0.6744,22,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,39,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,load_audio_fixed,30,29,0.6744,5,### MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_MaxDepth_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_MaxDepth_Trial.ipynb,build_feature_table,39,38,0.8837,5,### Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,27,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,mount_drive_if_colab,14,13,0.2955,4,## 5. Dataset Paths,imports/setup; function definitions,12,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,scan_audio_files,19,18,0.4091,4,## 6. Dataset Loading / Audio File Scan,dataset loading; outputs/saving; function definitions,21,21,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,aggregate_mfcc,31,30,0.6818,35,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,40,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,extract_mfcc_features,31,30,0.6818,22,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,40,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,load_audio_fixed,31,30,0.6818,5,## 10. MFCC Feature Extraction,configuration/paths; feature preparation; function definitions,39,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_NEstimators_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_NEstimators_Trial.ipynb,build_feature_table,40,39,0.8864,5,## 13. Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,27,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,mount_drive_if_colab,14,13,0.65,2,## 5. Project and Output Paths,imports/setup; function definitions,17,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,first_existing_path,16,15,0.75,23,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,resolve_project_root,16,15,0.75,2,## 5. Project and Output Paths,configuration/paths; evaluation; outputs/saving; function definitions,54,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Subsample_Trial.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Subsample_Trial.ipynb,require_file,19,18,0.9,2,## 6. Load Shared SVM Cache,dataset loading; feature preparation; training; function definitions,41,,,8,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Trial_Comparison.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Trial_Comparison.ipynb,first_existing_path,2,1,0.5,32,# XGBoost Hyperparameter Trial Comparison,imports/setup; configuration/paths; function definitions,46,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Boost\XGBoost\XGBoost_Trial_Comparison.ipynb,Training/Model Variants/Boost/XGBoost/XGBoost_Trial_Comparison.ipynb,resolve_project_root,2,1,0.5,13,# XGBoost Hyperparameter Trial Comparison,imports/setup; configuration/paths; function definitions,46,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,mount_drive_if_colab,14,13,0.2241,4,## 5. Dataset Paths,imports/setup; function definitions,13,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,scan_audio_files,20,19,0.3276,4,## 6. Dataset Loading / Audio File Scan,dataset loading; feature preparation; outputs/saving; function definitions,24,22,2,2,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,aggregate_mfcc,32,31,0.5345,37,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,extract_mfcc_features,32,31,0.5345,23,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,load_audio_fixed,32,31,0.5345,5,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Baseline.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Baseline.ipynb,build_feature_table,41,40,0.6897,5,## 13. Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,29,53,12,3,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,mount_drive_if_colab,14,13,0.2241,4,## 5. Dataset Paths,imports/setup; function definitions,13,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,scan_audio_files,20,19,0.3276,4,## 6. Dataset Loading / Audio File Scan,dataset loading; feature preparation; outputs/saving; function definitions,24,22,2,2,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,aggregate_mfcc,32,31,0.5345,37,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,extract_mfcc_features,32,31,0.5345,23,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,load_audio_fixed,32,31,0.5345,5,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,,,1,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_Final_Selected_Model.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_Final_Selected_Model.ipynb,build_feature_table,41,40,0.6897,5,## 13. Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,29,53,12,3,True
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,mount_drive_if_colab,14,13,0.2889,4,## 5. Dataset Paths,imports/setup; function definitions,13,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,scan_audio_files,20,19,0.4222,4,## 6. Dataset Loading / Audio File Scan,dataset loading; feature preparation; outputs/saving; function definitions,24,22,2,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,aggregate_mfcc,32,31,0.6889,37,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,extract_mfcc_features,32,31,0.6889,23,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,41,9,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,load_audio_fixed,32,31,0.6889,5,## 10. MFCC Feature Extraction,configuration/paths; dataset loading; feature preparation; function definitions,42,,,1,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxDepth_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxDepth_Trial.ipynb,build_feature_table,41,40,0.8889,5,## 13. Aggregated MFCC Feature Preparation,dataset loading; feature preparation; training; outputs/saving; function definitions,29,,,2,False
D:\Benjamin Data\Introduction to AI\Intro-to-AI\Training\Model Variants\Decision Trees\Random_Forest\Random_Forest_MaxFeatures_Trial.ipynb,Training/Model Variants/Decision Trees/Random_Forest/Random_Forest_MaxFeatures_Trial.ipynb,mount_drive_if_colab,14,13,0.2889,4,## 5. Dataset Paths,imports/setup; function definitions,13,,,1,False
